Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
sdg,Australia and New Zealand,total,Sanitation,2000,39.91334,9120369.26473,Basic service
sdg,Australia and New Zealand,total,Sanitation,2000,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2000,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2000,60.0793,13728376.93403,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2000,0.00735,1679.80124,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2000,99.76089,22795787.69424,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2000,99.20068,3505204.57043,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2000,7.91066,1528100.80116,Basic service
sdg,Australia and New Zealand,total,Drinking water,2000,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2000,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2000,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2000,91.95269,17762481.93117,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2000,0.03931,8981.99872,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2000,0.2542,8981.99854,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2000,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2000,0.19981,45656.67655,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2000,0.54512,19261.39687,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2000,0.13665,26395.76768,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2001,39.78349,9191027.6845,Basic service
sdg,Australia and New Zealand,total,Sanitation,2001,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2001,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2001,60.20916,13909890.98292,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2001,0.00735,1698.33259,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2001,99.76009,23047190.60122,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2001,99.1992,3566366.64549,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2001,7.53679,1470236.9558,Basic service
sdg,Australia and New Zealand,total,Drinking water,2001,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2001,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2001,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2001,92.32667,18010587.85102,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2001,0.03963,9155.8595,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2001,0.25467,9155.85909,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2001,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2001,0.20028,46269.78578,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2001,0.54613,19634.23116,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2001,0.13654,26635.49318,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2002,39.65087,9264254.28589,Basic service
sdg,Australia and New Zealand,total,Sanitation,2002,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2002,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2002,60.34178,14098596.91131,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2002,0.00735,1716.80283,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2002,99.76101,23308728.83583,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2002,99.2,3580738.10635,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2002,7.16432,1415307.1066,Basic service
sdg,Australia and New Zealand,total,Drinking water,2002,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2002,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2002,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2002,92.69921,18312685.03223,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2002,0.0393,9183.44198,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2002,0.25442,9183.44194,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2002,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2002,0.19968,46654.98562,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2002,0.54558,19693.38105,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2002,0.13648,26961.36117,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2003,39.51694,9344270.05121,Basic service
sdg,Australia and New Zealand,total,Sanitation,2003,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2003,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2003,60.47572,14300230.41032,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2003,0.00734,1735.53848,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2003,99.77954,23594105.74827,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2003,99.27,3600282.01747,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2003,6.78431,1358182.62149,Basic service
sdg,Australia and New Zealand,total,Drinking water,2003,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2003,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2003,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2003,93.08754,18635641.68756,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2003,0.03898,9217.66624,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2003,0.25416,9217.66654,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2003,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2003,0.18147,42911.77855,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2003,0.47584,17257.52013,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2003,0.12815,25654.99095,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2004,39.38451,9436558.19201,Basic service
sdg,Australia and New Zealand,total,Sanitation,2004,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2004,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2004,60.60815,14521758.60351,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2004,0.00734,1758.20449,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2004,99.79784,23911636.42674,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2004,99.33968,3624402.79046,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2004,6.40666,1301293.3989,Basic service
sdg,Australia and New Zealand,total,Drinking water,2004,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2004,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2004,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2004,93.47348,18985939.72033,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2004,0.03867,9266.10563,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2004,0.25397,9266.10538,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2004,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2004,0.16349,39171.97946,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2004,0.40635,14825.7686,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2004,0.11987,24346.88077,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2005,38.45359,9349564.92972,Basic service
sdg,Australia and New Zealand,total,Sanitation,2005,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2005,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2005,61.53907,14962545.23823,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2005,0.00734,1784.83205,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2005,99.81588,24269128.2132,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2005,99.40897,3654249.39849,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2005,6.03222,1244924.58979,Basic service
sdg,Australia and New Zealand,total,Drinking water,2005,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2005,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2005,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2005,93.85614,19369953.40098,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2005,0.03839,9333.38195,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2005,0.2539,9333.38242,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2005,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2005,0.14573,35433.17954,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2005,0.33713,12392.65777,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2005,0.11164,23041.00923,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2006,37.5269,9273716.22976,Basic service
sdg,Australia and New Zealand,total,Sanitation,2006,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2006,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2006,62.46575,15436650.03094,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2006,0.00735,1815.5393,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2006,99.83369,24671084.07212,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2006,99.47797,3690437.18527,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2006,5.66076,1188895.16138,Basic service
sdg,Australia and New Zealand,total,Drinking water,2006,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2006,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2006,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2006,94.23576,19791750.61838,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2006,0.03813,9421.57145,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2006,0.25396,9421.57136,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2006,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2006,0.12818,31676.66374,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2006,0.26807,9944.992,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2006,0.10348,21732.22023,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2007,36.60312,9205460.87929,Basic service
sdg,Australia and New Zealand,total,Sanitation,2007,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2007,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2007,63.38952,15942075.25523,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2007,0.00736,1849.86545,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2007,99.85134,25111999.23654,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2007,99.54743,3735931.98887,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2007,5.29222,1132348.8368,Basic service
sdg,Australia and New Zealand,total,Drinking water,2007,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2007,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2007,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2007,94.61242,20243718.05642,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2007,0.03787,9524.04723,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2007,0.25378,9524.04708,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2007,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2007,0.11079,27862.67839,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2007,0.19879,7460.50355,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2007,0.09536,20402.90677,Unimproved
sdg,Australia and New Zealand,total,Sanitation,2008,35.68034,9137893.79207,Basic service
sdg,Australia and New Zealand,total,Sanitation,2008,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2008,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2008,64.3123,16470667.84577,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2008,0.00737,1886.36218,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2008,99.86886,25576862.03269,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2008,99.61671,3784404.62425,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2008,4.92356,1073901.60361,Basic service
sdg,Australia and New Zealand,total,Drinking water,2008,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2008,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2008,0,0,Limited service
